=== L1_320 seed=0 ===
config: configs\fgscr42\L1_320.yaml
classes=42 train=5898 val=1880 groups=5233 train_imbalance=583.0x
model=resnet50 head=gap params=23.59M img_size=320
ep   0 | loss 3.4955 | val 3.1807 | top1 21.54 | mpc 5.47 | f1 3.60 | 25.1s
ep   1 | loss 2.8185 | val 2.3294 | top1 53.94 | mpc 22.31 | f1 20.73 | 14.4s
ep   2 | loss 1.8865 | val 1.4334 | top1 77.18 | mpc 46.26 | f1 47.00 | 14.4s
ep   3 | loss 1.2197 | val 1.0554 | top1 89.73 | mpc 74.59 | f1 74.48 | 14.4s
ep   4 | loss 0.9196 | val 0.8775 | top1 95.59 | mpc 82.12 | f1 81.91 | 14.2s
ep   5 | loss 0.8082 | val 0.8216 | top1 97.23 | mpc 85.37 | f1 85.49 | 14.6s
ep   6 | loss 0.7580 | val 0.7900 | top1 98.03 | mpc 87.77 | f1 88.61 | 14.3s
ep   7 | loss 0.7384 | val 0.7840 | top1 98.03 | mpc 89.43 | f1 89.89 | 15.8s
ep   8 | loss 0.7265 | val 0.7702 | top1 98.67 | mpc 88.64 | f1 89.24 | 14.0s
ep   9 | loss 0.7211 | val 0.7575 | top1 98.94 | mpc 89.90 | f1 90.50 | 12.0s
ep  10 | loss 0.7151 | val 0.7552 | top1 98.94 | mpc 89.88 | f1 90.50 | 11.8s
ep  11 | loss 0.7107 | val 0.7508 | top1 98.78 | mpc 89.54 | f1 90.19 | 14.7s
ep  12 | loss 0.7096 | val 0.7473 | top1 99.20 | mpc 89.21 | f1 89.74 | 13.9s
ep  13 | loss 0.7061 | val 0.7465 | top1 98.78 | mpc 88.64 | f1 89.15 | 13.6s
ep  14 | loss 0.7041 | val 0.7419 | top1 98.88 | mpc 88.71 | f1 89.24 | 13.9s
ep  15 | loss 0.7025 | val 0.7400 | top1 99.10 | mpc 89.96 | f1 90.51 | 14.5s
ep  16 | loss 0.7004 | val 0.7383 | top1 98.99 | mpc 90.27 | f1 90.81 | 15.4s
ep  17 | loss 0.6986 | val 0.7429 | top1 98.88 | mpc 91.02 | f1 91.16 | 15.9s
ep  18 | loss 0.6986 | val 0.7397 | top1 98.94 | mpc 89.90 | f1 90.44 | 16.2s
ep  19 | loss 0.6982 | val 0.7394 | top1 98.94 | mpc 89.61 | f1 90.27 | 14.7s
ep  20 | loss 0.6969 | val 0.7367 | top1 98.99 | mpc 89.91 | f1 90.50 | 14.7s
