=== L2 seed=0 ===
config: configs\fgscr42\L2.yaml
classes=42 train=5898 val=1880 groups=5233 train_imbalance=583.0x
model=resnet50 head=gap params=23.59M img_size=448
ep   0 | loss 3.4913 | val 3.1799 | top1 16.28 | mpc 3.99 | f1 1.78 | 40.1s
ep   1 | loss 2.9007 | val 2.5191 | top1 42.61 | mpc 13.96 | f1 12.27 | 28.3s
ep   2 | loss 2.0874 | val 1.6514 | top1 71.01 | mpc 37.02 | f1 35.27 | 27.2s
ep   3 | loss 1.3760 | val 1.1656 | top1 86.81 | mpc 66.04 | f1 65.23 | 27.9s
ep   4 | loss 0.9888 | val 0.9393 | top1 94.79 | mpc 79.28 | f1 78.52 | 29.1s
ep   5 | loss 0.8567 | val 0.8631 | top1 96.60 | mpc 83.27 | f1 82.64 | 21.8s
ep   6 | loss 0.7950 | val 0.8205 | top1 97.98 | mpc 86.22 | f1 86.00 | 17.7s
ep   7 | loss 0.7704 | val 0.7871 | top1 98.56 | mpc 89.41 | f1 89.67 | 16.5s
ep   8 | loss 0.7520 | val 0.7716 | top1 99.15 | mpc 93.58 | f1 93.50 | 16.1s
ep   9 | loss 0.7418 | val 0.7619 | top1 99.20 | mpc 92.19 | f1 92.49 | 28.2s
ep  10 | loss 0.7329 | val 0.7558 | top1 99.15 | mpc 93.35 | f1 93.29 | 30.6s
ep  11 | loss 0.7259 | val 0.7484 | top1 99.20 | mpc 91.43 | f1 91.76 | 25.7s
ep  12 | loss 0.7220 | val 0.7434 | top1 99.57 | mpc 93.86 | f1 93.79 | 26.2s
ep  13 | loss 0.7194 | val 0.7426 | top1 99.41 | mpc 93.81 | f1 93.71 | 25.6s
ep  14 | loss 0.7161 | val 0.7457 | top1 99.20 | mpc 92.55 | f1 92.87 | 26.0s
ep  15 | loss 0.7144 | val 0.7350 | top1 99.68 | mpc 93.89 | f1 93.82 | 25.6s
ep  16 | loss 0.7114 | val 0.7341 | top1 99.57 | mpc 91.51 | f1 91.24 | 24.5s
ep  17 | loss 0.7081 | val 0.7334 | top1 99.57 | mpc 93.47 | f1 93.42 | 27.2s
ep  18 | loss 0.7072 | val 0.7344 | top1 99.52 | mpc 92.67 | f1 92.97 | 27.4s
ep  19 | loss 0.7060 | val 0.7345 | top1 99.47 | mpc 92.65 | f1 92.93 | 24.7s
ep  20 | loss 0.7065 | val 0.7282 | top1 99.63 | mpc 92.70 | f1 92.05 | 28.7s
ep  21 | loss 0.7036 | val 0.7246 | top1 99.68 | mpc 93.89 | f1 93.83 | 27.2s
ep  22 | loss 0.7026 | val 0.7247 | top1 99.63 | mpc 92.64 | f1 92.95 | 26.2s
ep  23 | loss 0.7013 | val 0.7257 | top1 99.57 | mpc 93.80 | f1 93.75 | 28.3s
ep  24 | loss 0.7014 | val 0.7199 | top1 99.68 | mpc 93.89 | f1 93.82 | 18.7s
ep  25 | loss 0.7015 | val 0.7233 | top1 99.73 | mpc 95.08 | f1 94.65 | 21.7s
ep  26 | loss 0.6993 | val 0.7198 | top1 99.57 | mpc 92.68 | f1 92.00 | 25.5s
ep  27 | loss 0.6990 | val 0.7196 | top1 99.63 | mpc 93.87 | f1 93.82 | 26.1s
ep  28 | loss 0.6982 | val 0.7167 | top1 99.84 | mpc 95.11 | f1 94.71 | 25.8s
ep  29 | loss 0.6985 | val 0.7166 | top1 99.73 | mpc 95.08 | f1 94.67 | 25.7s
ep  30 | loss 0.6980 | val 0.7200 | top1 99.79 | mpc 97.46 | f1 97.31 | 24.3s
ep  31 | loss 0.6966 | val 0.7195 | top1 99.63 | mpc 95.05 | f1 94.61 | 25.0s
ep  32 | loss 0.6967 | val 0.7178 | top1 99.79 | mpc 95.10 | f1 94.70 | 23.6s
ep  33 | loss 0.6956 | val 0.7153 | top1 99.73 | mpc 97.44 | f1 97.30 | 18.0s
ep  34 | loss 0.6952 | val 0.7170 | top1 99.63 | mpc 95.05 | f1 94.64 | 34.6s
ep  35 | loss 0.6950 | val 0.7154 | top1 99.79 | mpc 95.10 | f1 94.70 | 27.7s
ep  36 | loss 0.6941 | val 0.7152 | top1 99.73 | mpc 93.91 | f1 93.88 | 25.8s
ep  37 | loss 0.6942 | val 0.7148 | top1 99.68 | mpc 93.89 | f1 93.87 | 24.9s
ep  38 | loss 0.6939 | val 0.7130 | top1 99.79 | mpc 95.10 | f1 94.69 | 18.1s
ep  39 | loss 0.6934 | val 0.7149 | top1 99.73 | mpc 95.08 | f1 94.67 | 24.6s
ep  40 | loss 0.6935 | val 0.7125 | top1 99.73 | mpc 96.27 | f1 96.51 | 32.3s
ep  41 | loss 0.6929 | val 0.7143 | top1 99.73 | mpc 95.08 | f1 94.67 | 26.8s
ep  42 | loss 0.6929 | val 0.7134 | top1 99.79 | mpc 96.29 | f1 96.50 | 28.8s
ep  43 | loss 0.6931 | val 0.7117 | top1 99.79 | mpc 93.92 | f1 93.91 | 28.3s
ep  44 | loss 0.6929 | val 0.7124 | top1 99.79 | mpc 95.10 | f1 94.69 | 31.7s
ep  45 | loss 0.6920 | val 0.7134 | top1 99.73 | mpc 93.91 | f1 93.88 | 26.8s
ep  46 | loss 0.6922 | val 0.7124 | top1 99.79 | mpc 95.10 | f1 94.69 | 25.7s
ep  47 | loss 0.6918 | val 0.7135 | top1 99.79 | mpc 95.10 | f1 94.69 | 26.0s
ep  48 | loss 0.6918 | val 0.7114 | top1 99.84 | mpc 95.11 | f1 94.71 | 26.5s
ep  49 | loss 0.6919 | val 0.7116 | top1 99.73 | mpc 93.91 | f1 93.86 | 26.8s
ep  50 | loss 0.6921 | val 0.7136 | top1 99.73 | mpc 95.08 | f1 94.67 | 27.2s
ep  51 | loss 0.6916 | val 0.7111 | top1 99.79 | mpc 95.10 | f1 94.69 | 28.4s
ep  52 | loss 0.6913 | val 0.7114 | top1 99.79 | mpc 95.10 | f1 94.69 | 25.6s
ep  53 | loss 0.6914 | val 0.7127 | top1 99.73 | mpc 95.08 | f1 94.67 | 25.0s
ep  54 | loss 0.6913 | val 0.7131 | top1 99.73 | mpc 95.08 | f1 94.67 | 20.4s
ep  55 | loss 0.6913 | val 0.7114 | top1 99.79 | mpc 95.10 | f1 94.69 | 20.4s
ep  56 | loss 0.6912 | val 0.7115 | top1 99.73 | mpc 95.08 | f1 94.67 | 35.2s
ep  57 | loss 0.6909 | val 0.7120 | top1 99.68 | mpc 93.89 | f1 93.87 | 26.8s
ep  58 | loss 0.6912 | val 0.7117 | top1 99.79 | mpc 95.10 | f1 94.69 | 25.1s
