=== L2r_rot_reflect seed=0 ===
config: configs\fgscr42\L2r.yaml  commit: e7dc49b
classes=42 train=4738 val=1558 test=1482 groups=5233 train_imbalance=472.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=448
ep   0 | loss 3.5278 | val loss 3.2636 mpc 4.70 | test top1 18.76 mpc 4.64 f1 2.67 | 22.7s
ep   1 | loss 2.9896 | val loss 2.6656 mpc 11.33 | test top1 37.58 mpc 10.66 f1 8.65 | 14.0s
ep   2 | loss 2.3620 | val loss 1.9033 mpc 32.79 | test top1 63.70 mpc 31.25 f1 29.21 | 13.8s
ep   3 | loss 1.6349 | val loss 1.3768 mpc 50.95 | test top1 78.27 mpc 49.60 f1 47.65 | 14.1s
ep   4 | loss 1.2013 | val loss 1.0735 mpc 73.38 | test top1 88.46 mpc 71.23 f1 72.18 | 13.6s
ep   5 | loss 0.9518 | val loss 0.8945 mpc 83.17 | test top1 96.09 mpc 82.29 f1 81.89 | 13.9s
ep   6 | loss 0.8462 | val loss 0.8295 mpc 86.05 | test top1 98.11 mpc 84.60 f1 84.56 | 13.9s
ep   7 | loss 0.8003 | val loss 0.8241 mpc 84.08 | test top1 97.77 mpc 86.52 f1 84.58 | 13.4s
ep   8 | loss 0.7761 | val loss 0.7732 mpc 87.17 | test top1 98.99 mpc 87.85 f1 87.02 | 13.4s
ep   9 | loss 0.7549 | val loss 0.7582 mpc 90.18 | test top1 99.39 mpc 91.51 f1 91.39 | 13.6s
ep  10 | loss 0.7439 | val loss 0.7538 mpc 88.92 | test top1 99.26 mpc 93.82 f1 93.21 | 14.2s
ep  11 | loss 0.7352 | val loss 0.7495 mpc 89.17 | test top1 99.19 mpc 91.44 f1 91.06 | 13.8s
ep  12 | loss 0.7319 | val loss 0.7428 mpc 91.62 | test top1 99.33 mpc 91.41 f1 91.33 | 14.9s
ep  13 | loss 0.7233 | val loss 0.7397 mpc 89.19 | test top1 99.39 mpc 91.51 f1 91.30 | 15.8s
ep  14 | loss 0.7238 | val loss 0.7349 mpc 92.07 | test top1 99.60 mpc 92.32 f1 91.76 | 16.6s
ep  15 | loss 0.7171 | val loss 0.7331 mpc 89.63 | test top1 99.53 mpc 93.91 f1 93.81 | 16.2s
ep  16 | loss 0.7166 | val loss 0.7389 mpc 91.26 | test top1 99.39 mpc 91.39 f1 90.98 | 16.1s
ep  17 | loss 0.7161 | val loss 0.7285 mpc 91.67 | test top1 99.39 mpc 91.51 f1 91.39 | 16.1s
ep  18 | loss 0.7124 | val loss 0.7293 mpc 91.67 | test top1 99.39 mpc 91.33 f1 91.21 | 15.4s
ep  19 | loss 0.7100 | val loss 0.7251 mpc 91.67 | test top1 99.46 mpc 93.71 f1 93.70 | 15.5s
ep  20 | loss 0.7085 | val loss 0.7244 mpc 91.48 | test top1 99.39 mpc 93.51 f1 93.57 | 15.5s
ep  21 | loss 0.7080 | val loss 0.7262 mpc 91.67 | test top1 99.46 mpc 91.53 f1 91.16 | 15.6s
ep  22 | loss 0.7045 | val loss 0.7222 mpc 89.23 | test top1 99.39 mpc 91.33 f1 91.21 | 15.6s
ep  23 | loss 0.7051 | val loss 0.7227 mpc 91.67 | test top1 99.39 mpc 91.33 f1 91.04 | 15.6s
ep  24 | loss 0.7045 | val loss 0.7205 mpc 89.04 | test top1 99.39 mpc 91.33 f1 91.21 | 15.6s
ep  25 | loss 0.7046 | val loss 0.7215 mpc 89.04 | test top1 99.39 mpc 91.33 f1 91.04 | 16.0s
ep  26 | loss 0.7028 | val loss 0.7202 mpc 89.65 | test top1 99.39 mpc 93.51 f1 93.57 | 15.6s
ep  27 | loss 0.7026 | val loss 0.7174 mpc 91.67 | test top1 99.39 mpc 91.33 f1 91.04 | 15.7s
ep  28 | loss 0.7011 | val loss 0.7181 mpc 91.48 | test top1 99.33 mpc 91.13 f1 90.92 | 15.6s
