=== L2z_zoom_only seed=0 ===
config: configs\fgscr42\L2z.yaml  commit: bc73f71
classes=42 train=4738 val=1558 test=1482 groups=5233 train_imbalance=472.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=448
ep   0 | loss 3.5249 | val loss 3.2210 mpc 5.35 | test top1 20.92 mpc 5.20 f1 3.00 | 23.4s
ep   1 | loss 2.9812 | val loss 2.7501 mpc 9.83 | test top1 34.95 mpc 9.50 f1 6.99 | 14.0s
ep   2 | loss 2.4343 | val loss 2.0752 mpc 27.04 | test top1 59.11 mpc 27.42 f1 25.25 | 13.9s
ep   3 | loss 1.6392 | val loss 1.5167 mpc 46.64 | test top1 74.49 mpc 47.91 f1 45.99 | 14.0s
ep   4 | loss 1.1616 | val loss 1.2133 mpc 72.94 | test top1 85.43 mpc 71.65 f1 69.76 | 13.9s
ep   5 | loss 0.9440 | val loss 1.0594 mpc 78.40 | test top1 91.43 mpc 80.45 f1 77.58 | 13.8s
ep   6 | loss 0.8335 | val loss 1.0081 mpc 80.62 | test top1 93.93 mpc 83.05 f1 82.10 | 14.0s
ep   7 | loss 0.7737 | val loss 0.9537 mpc 81.90 | test top1 94.94 mpc 85.69 f1 83.78 | 14.1s
ep   8 | loss 0.7512 | val loss 0.9006 mpc 84.63 | test top1 96.09 mpc 87.96 f1 85.46 | 13.9s
ep   9 | loss 0.7327 | val loss 0.9085 mpc 82.93 | test top1 95.34 mpc 87.93 f1 85.74 | 13.9s
ep  10 | loss 0.7267 | val loss 0.9242 mpc 82.53 | test top1 95.82 mpc 88.47 f1 85.75 | 14.0s
ep  11 | loss 0.7206 | val loss 0.9083 mpc 84.48 | test top1 96.15 mpc 88.64 f1 86.55 | 13.9s
ep  12 | loss 0.7162 | val loss 0.8836 mpc 84.66 | test top1 96.69 mpc 89.08 f1 87.81 | 13.8s
ep  13 | loss 0.7105 | val loss 0.8902 mpc 87.10 | test top1 96.49 mpc 89.27 f1 87.27 | 14.0s
ep  14 | loss 0.7107 | val loss 0.8852 mpc 84.90 | test top1 96.42 mpc 86.79 f1 84.22 | 13.9s
ep  15 | loss 0.7077 | val loss 0.8822 mpc 84.26 | test top1 96.76 mpc 89.31 f1 87.82 | 13.9s
ep  16 | loss 0.7051 | val loss 0.8608 mpc 84.73 | test top1 96.29 mpc 88.91 f1 87.34 | 13.9s
ep  17 | loss 0.7042 | val loss 0.8751 mpc 85.32 | test top1 96.76 mpc 90.24 f1 88.28 | 14.0s
ep  18 | loss 0.7022 | val loss 0.8639 mpc 84.33 | test top1 97.37 mpc 89.58 f1 87.99 | 13.9s
ep  19 | loss 0.7005 | val loss 0.8613 mpc 83.93 | test top1 97.03 mpc 89.20 f1 87.57 | 13.9s
ep  20 | loss 0.7010 | val loss 0.8708 mpc 85.25 | test top1 96.76 mpc 89.35 f1 87.65 | 13.9s
ep  21 | loss 0.7006 | val loss 0.8554 mpc 85.79 | test top1 97.03 mpc 89.36 f1 87.91 | 13.8s
ep  22 | loss 0.6990 | val loss 0.8677 mpc 87.13 | test top1 96.76 mpc 89.23 f1 87.52 | 13.9s
ep  23 | loss 0.6980 | val loss 0.8538 mpc 87.48 | test top1 96.83 mpc 89.00 f1 87.29 | 13.9s
ep  24 | loss 0.6970 | val loss 0.8591 mpc 85.58 | test top1 96.69 mpc 89.37 f1 87.60 | 13.8s
ep  25 | loss 0.6969 | val loss 0.8622 mpc 85.09 | test top1 96.90 mpc 89.39 f1 87.57 | 13.9s
