=== L3_compact_bilinear seed=2 ===
config: configs\fgscr42\L3.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=resnet50 head=compact_bilinear params=23.85M img_size=448
ep   0 | loss 3.6476 | val loss 3.4967 mpc 6.28 | test top1 24.71 mpc 6.19 f1 4.39 | 22.6s
ep   1 | loss 3.3189 | val loss 3.1225 mpc 7.68 | test top1 28.98 mpc 7.65 f1 4.73 | 13.8s
ep   2 | loss 2.9507 | val loss 2.7205 mpc 12.27 | test top1 36.09 mpc 10.81 f1 9.04 | 13.8s
ep   3 | loss 2.4467 | val loss 2.1642 mpc 23.24 | test top1 53.89 mpc 21.82 f1 20.63 | 13.7s
ep   4 | loss 1.9128 | val loss 1.6714 mpc 38.12 | test top1 71.43 mpc 37.82 f1 36.44 | 13.7s
ep   5 | loss 1.4151 | val loss 1.3050 mpc 51.28 | test top1 83.48 mpc 51.02 f1 49.64 | 13.8s
ep   6 | loss 1.0913 | val loss 1.1206 mpc 60.30 | test top1 88.29 mpc 58.37 f1 57.45 | 13.8s
ep   7 | loss 0.9305 | val loss 1.0243 mpc 66.77 | test top1 91.40 mpc 67.52 f1 66.16 | 13.7s
ep   8 | loss 0.8520 | val loss 0.9714 mpc 72.28 | test top1 92.15 mpc 67.88 f1 66.77 | 13.8s
ep   9 | loss 0.8019 | val loss 0.9606 mpc 75.96 | test top1 93.30 mpc 73.78 f1 70.83 | 13.7s
ep  10 | loss 0.7701 | val loss 0.9356 mpc 79.10 | test top1 94.58 mpc 77.41 f1 76.02 | 13.7s
ep  11 | loss 0.7580 | val loss 0.9092 mpc 81.58 | test top1 94.38 mpc 78.29 f1 75.92 | 13.6s
ep  12 | loss 0.7432 | val loss 0.9087 mpc 81.68 | test top1 95.06 mpc 78.53 f1 76.84 | 14.0s
ep  13 | loss 0.7290 | val loss 0.9242 mpc 80.72 | test top1 93.97 mpc 78.93 f1 76.65 | 13.9s
ep  14 | loss 0.7253 | val loss 0.9068 mpc 81.97 | test top1 94.65 mpc 82.17 f1 79.10 | 14.2s
