=== L6a_convnext_tiny seed=1 ===
config: configs\fgscr42\L6a_convnext.yaml  commit: bc73f71
classes=42 train=4634 val=1550 test=1594 groups=5233 train_imbalance=463.0x | classes absent from val/test: 1/0
model=convnext_tiny head=gap params=27.85M img_size=448
ep   0 | loss 2.6971 | val loss 2.0805 mpc 23.90 | test top1 55.08 mpc 24.63 f1 21.98 | 25.8s
ep   1 | loss 1.3754 | val loss 1.3629 mpc 49.82 | test top1 79.61 mpc 48.77 f1 46.87 | 12.4s
ep   2 | loss 1.0285 | val loss 1.0118 mpc 74.63 | test top1 92.35 mpc 75.43 f1 74.33 | 12.5s
ep   3 | loss 0.8940 | val loss 0.9711 mpc 75.29 | test top1 90.90 mpc 72.39 f1 74.69 | 12.4s
ep   4 | loss 0.8367 | val loss 1.1161 mpc 68.70 | test top1 88.02 mpc 69.46 f1 70.99 | 12.4s
ep   5 | loss 0.8276 | val loss 0.9432 mpc 79.49 | test top1 94.48 mpc 76.27 f1 75.52 | 12.3s
ep   6 | loss 0.7845 | val loss 0.8340 mpc 87.84 | test top1 96.42 mpc 82.55 f1 80.78 | 12.4s
ep   7 | loss 0.7559 | val loss 0.8000 mpc 85.25 | test top1 97.87 mpc 87.62 f1 86.64 | 12.3s
ep   8 | loss 0.7393 | val loss 0.8106 mpc 84.54 | test top1 98.12 mpc 88.82 f1 87.36 | 12.4s
ep   9 | loss 0.7255 | val loss 0.8025 mpc 87.45 | test top1 97.87 mpc 89.40 f1 90.13 | 12.4s
ep  10 | loss 0.7180 | val loss 0.7992 mpc 88.53 | test top1 98.24 mpc 86.64 f1 86.03 | 12.3s
ep  11 | loss 0.7057 | val loss 0.7627 mpc 91.62 | test top1 99.06 mpc 90.02 f1 90.68 | 12.4s
ep  12 | loss 0.7038 | val loss 0.7702 mpc 91.24 | test top1 97.87 mpc 87.32 f1 86.89 | 12.4s
ep  13 | loss 0.6974 | val loss 0.7510 mpc 92.04 | test top1 99.31 mpc 91.74 f1 91.12 | 12.4s
