=== L6b_vit_base_p16 seed=0 ===
config: configs\fgscr42\L6b_vit.yaml
classes=42 train=5898 val=1880 groups=5233 train_imbalance=583.0x
model=vit_base_patch16_224 head=gap params=86.28M img_size=448
ep   0 | loss 2.1450 | val 1.1702 | top1 86.22 | mpc 64.14 | f1 64.54 | 64.5s
ep   1 | loss 0.9308 | val 0.9127 | top1 95.27 | mpc 88.36 | f1 85.68 | 55.7s
ep   2 | loss 0.8294 | val 0.8210 | top1 96.91 | mpc 93.21 | f1 92.81 | 51.1s
ep   3 | loss 0.8033 | val 0.7917 | top1 97.18 | mpc 85.30 | f1 86.21 | 51.9s
ep   4 | loss 0.8015 | val 0.8456 | top1 95.74 | mpc 84.74 | f1 82.37 | 51.0s
ep   5 | loss 0.8020 | val 0.7809 | top1 97.13 | mpc 90.48 | f1 90.88 | 51.1s
ep   6 | loss 0.7692 | val 0.8059 | top1 96.81 | mpc 94.07 | f1 92.56 | 52.4s
ep   7 | loss 0.7630 | val 0.8110 | top1 96.49 | mpc 85.90 | f1 85.95 | 50.4s
ep   8 | loss 0.7397 | val 0.7666 | top1 97.55 | mpc 90.34 | f1 90.33 | 51.9s
ep   9 | loss 0.7396 | val 0.7664 | top1 97.71 | mpc 91.43 | f1 91.42 | 33.4s
ep  10 | loss 0.7250 | val 0.7533 | top1 97.77 | mpc 88.55 | f1 87.74 | 33.7s
ep  11 | loss 0.7224 | val 0.7652 | top1 97.39 | mpc 90.88 | f1 89.77 | 33.8s
ep  12 | loss 0.7182 | val 0.7732 | top1 97.29 | mpc 94.51 | f1 94.82 | 33.7s
ep  13 | loss 0.7103 | val 0.7370 | top1 98.56 | mpc 96.41 | f1 95.92 | 34.0s
ep  14 | loss 0.7212 | val 0.7523 | top1 97.98 | mpc 92.79 | f1 92.21 | 36.6s
ep  15 | loss 0.7222 | val 0.7231 | top1 98.78 | mpc 93.88 | f1 93.53 | 58.9s
ep  16 | loss 0.6999 | val 0.7548 | top1 97.66 | mpc 93.04 | f1 93.88 | 49.4s
ep  17 | loss 0.6997 | val 0.7138 | top1 99.04 | mpc 92.67 | f1 93.03 | 48.8s
ep  18 | loss 0.7111 | val 0.7178 | top1 99.20 | mpc 94.78 | f1 93.99 | 53.0s
ep  19 | loss 0.7040 | val 0.7177 | top1 98.94 | mpc 94.56 | f1 94.49 | 53.4s
ep  20 | loss 0.6975 | val 0.7471 | top1 98.46 | mpc 89.35 | f1 87.71 | 51.5s
