=== L3_compact_bilinear seed=0 ===
config: configs\fgscr42\L3.yaml
classes=42 train=5898 val=1880 groups=5233 train_imbalance=583.0x
model=resnet50 head=compact_bilinear params=23.85M img_size=448
ep   0 | loss 3.6280 | val 3.4413 | top1 24.95 | mpc 6.39 | f1 4.12 | 42.4s
ep   1 | loss 3.2319 | val 2.9794 | top1 28.40 | mpc 7.69 | f1 5.47 | 21.1s
ep   2 | loss 2.7705 | val 2.4670 | top1 44.20 | mpc 15.62 | f1 13.77 | 33.2s
ep   3 | loss 2.2163 | val 1.8662 | top1 66.86 | mpc 31.95 | f1 30.97 | 34.4s
ep   4 | loss 1.6598 | val 1.4200 | top1 80.69 | mpc 46.99 | f1 46.01 | 31.9s
ep   5 | loss 1.2161 | val 1.0717 | top1 89.41 | mpc 57.58 | f1 56.82 | 32.3s
ep   6 | loss 0.9587 | val 0.9239 | top1 93.35 | mpc 68.52 | f1 67.78 | 33.0s
ep   7 | loss 0.8518 | val 0.8471 | top1 95.59 | mpc 77.34 | f1 76.53 | 31.4s
ep   8 | loss 0.7899 | val 0.8096 | top1 96.44 | mpc 84.04 | f1 83.49 | 30.4s
ep   9 | loss 0.7554 | val 0.7913 | top1 97.18 | mpc 84.28 | f1 83.71 | 31.4s
ep  10 | loss 0.7378 | val 0.7602 | top1 97.98 | mpc 86.33 | f1 85.84 | 29.5s
ep  11 | loss 0.7257 | val 0.7538 | top1 98.09 | mpc 86.75 | f1 86.25 | 30.0s
ep  12 | loss 0.7176 | val 0.7564 | top1 97.77 | mpc 85.84 | f1 84.65 | 30.7s
ep  13 | loss 0.7115 | val 0.7371 | top1 98.19 | mpc 88.29 | f1 87.71 | 32.1s
ep  14 | loss 0.7064 | val 0.7403 | top1 98.40 | mpc 89.25 | f1 88.57 | 34.4s
ep  15 | loss 0.7027 | val 0.7389 | top1 98.35 | mpc 90.08 | f1 89.15 | 33.5s
ep  16 | loss 0.7023 | val 0.7282 | top1 98.56 | mpc 89.03 | f1 88.68 | 34.3s
ep  17 | loss 0.6972 | val 0.7287 | top1 98.56 | mpc 90.90 | f1 90.20 | 33.2s
ep  18 | loss 0.6980 | val 0.7353 | top1 98.09 | mpc 89.56 | f1 88.22 | 34.6s
ep  19 | loss 0.6977 | val 0.7233 | top1 98.78 | mpc 90.37 | f1 89.35 | 36.5s
ep  20 | loss 0.6956 | val 0.7185 | top1 98.72 | mpc 91.06 | f1 90.30 | 29.8s
ep  21 | loss 0.6935 | val 0.7201 | top1 98.72 | mpc 90.91 | f1 90.24 | 18.7s
ep  22 | loss 0.6915 | val 0.7167 | top1 98.78 | mpc 89.84 | f1 89.06 | 20.0s
ep  23 | loss 0.6919 | val 0.7144 | top1 98.83 | mpc 90.16 | f1 89.32 | 27.8s
ep  24 | loss 0.6909 | val 0.7168 | top1 98.72 | mpc 89.91 | f1 88.92 | 30.9s
ep  25 | loss 0.6909 | val 0.7205 | top1 98.62 | mpc 90.40 | f1 89.58 | 31.5s
ep  26 | loss 0.6901 | val 0.7144 | top1 99.04 | mpc 90.83 | f1 90.21 | 30.5s
ep  27 | loss 0.6901 | val 0.7123 | top1 99.10 | mpc 91.21 | f1 90.71 | 31.3s
ep  28 | loss 0.6898 | val 0.7203 | top1 98.88 | mpc 91.00 | f1 90.47 | 30.7s
ep  29 | loss 0.6891 | val 0.7111 | top1 99.10 | mpc 91.23 | f1 90.85 | 31.2s
ep  30 | loss 0.6875 | val 0.7124 | top1 98.88 | mpc 91.11 | f1 90.72 | 34.4s
ep  31 | loss 0.6888 | val 0.7137 | top1 98.88 | mpc 91.38 | f1 91.04 | 31.1s
ep  32 | loss 0.6883 | val 0.7168 | top1 98.83 | mpc 91.06 | f1 90.46 | 29.3s
ep  33 | loss 0.6874 | val 0.7155 | top1 98.78 | mpc 90.81 | f1 90.28 | 30.8s
ep  34 | loss 0.6876 | val 0.7135 | top1 99.04 | mpc 90.91 | f1 90.52 | 32.5s
ep  35 | loss 0.6867 | val 0.7139 | top1 99.10 | mpc 91.59 | f1 91.14 | 30.7s
ep  36 | loss 0.6869 | val 0.7106 | top1 99.15 | mpc 91.48 | f1 91.12 | 32.0s
ep  37 | loss 0.6871 | val 0.7119 | top1 98.88 | mpc 91.11 | f1 90.72 | 22.0s
ep  38 | loss 0.6862 | val 0.7099 | top1 99.04 | mpc 91.57 | f1 91.11 | 22.9s
ep  39 | loss 0.6863 | val 0.7166 | top1 98.94 | mpc 91.27 | f1 90.90 | 27.2s
ep  40 | loss 0.6870 | val 0.7160 | top1 98.78 | mpc 89.64 | f1 89.49 | 30.6s
ep  41 | loss 0.6857 | val 0.7186 | top1 98.72 | mpc 89.71 | f1 89.59 | 30.9s
ep  42 | loss 0.6859 | val 0.7157 | top1 98.62 | mpc 89.53 | f1 89.41 | 31.9s
ep  43 | loss 0.6862 | val 0.7147 | top1 98.78 | mpc 91.15 | f1 90.69 | 30.4s
ep  44 | loss 0.6854 | val 0.7104 | top1 98.88 | mpc 91.51 | f1 91.16 | 29.9s
ep  45 | loss 0.6854 | val 0.7102 | top1 98.99 | mpc 91.56 | f1 91.21 | 30.1s
ep  46 | loss 0.6853 | val 0.7111 | top1 99.04 | mpc 91.59 | f1 91.23 | 31.2s
ep  47 | loss 0.6853 | val 0.7100 | top1 99.10 | mpc 91.61 | f1 91.26 | 29.2s
ep  48 | loss 0.6855 | val 0.7136 | top1 98.88 | mpc 91.54 | f1 91.17 | 33.7s
ep  49 | loss 0.6852 | val 0.7103 | top1 99.04 | mpc 91.59 | f1 91.23 | 35.4s
ep  50 | loss 0.6853 | val 0.7112 | top1 98.99 | mpc 91.57 | f1 91.21 | 33.7s
ep  51 | loss 0.6848 | val 0.7114 | top1 98.99 | mpc 91.58 | f1 91.21 | 32.8s
ep  52 | loss 0.6857 | val 0.7106 | top1 99.10 | mpc 91.23 | f1 90.84 | 30.5s
ep  53 | loss 0.6851 | val 0.7109 | top1 98.99 | mpc 91.58 | f1 91.22 | 34.3s
ep  54 | loss 0.6855 | val 0.7105 | top1 99.04 | mpc 91.59 | f1 91.24 | 33.3s
ep  55 | loss 0.6855 | val 0.7114 | top1 99.04 | mpc 91.59 | f1 91.24 | 29.4s
ep  56 | loss 0.6852 | val 0.7138 | top1 98.99 | mpc 91.58 | f1 91.21 | 33.0s
ep  57 | loss 0.6852 | val 0.7106 | top1 99.04 | mpc 91.59 | f1 91.24 | 35.1s
ep  58 | loss 0.6850 | val 0.7112 | top1 99.15 | mpc 91.62 | f1 91.27 | 32.4s
ep  59 | loss 0.6853 | val 0.7099 | top1 99.04 | mpc 91.59 | f1 91.25 | 32.9s
best: top1=99.15 mpc=91.62 f1=91.27 @ep58 | wall 34.9min
-> runs\L3_compact_bilinear\seed0
